iter	Logloss
0	0.6274043215
1	0.5871513109
2	0.5503397058
3	0.5216129502
4	0.5006741842
5	0.4853676973
6	0.4719771859
7	0.4617715719
8	0.4537368156
9	0.4468640647
10	0.4412259078
11	0.4354076511
12	0.4324086147
13	0.4283217542
14	0.4249418025
15	0.4214716839
16	0.4190423557
17	0.4168402027
18	0.4153490458
19	0.4137704309
20	0.4122342874
21	0.4105924229
22	0.4096932093
23	0.4086428317
24	0.4068636907
25	0.4061414138
26	0.4050040834
27	0.4043896393
28	0.4030999215
29	0.4026853308
30	0.4025785709
31	0.4020397017
32	0.4015124665
33	0.4007963331
34	0.4001502778
35	0.3999403386
36	0.3990237016
37	0.3986000693
38	0.3980195734
39	0.397486859
40	0.3966437351
41	0.3965979305
42	0.396505447
43	0.3964615741
44	0.3960053172
45	0.3954055956
46	0.3950003267
47	0.3945642072
48	0.3943493416
49	0.3941738992
50	0.3940230446
51	0.3940230433
52	0.3938177457
53	0.3938177449
54	0.3935090998
55	0.3931629825
56	0.3929677537
57	0.3927215293
58	0.3924539504
59	0.3922046019
60	0.391861324
61	0.391784399
62	0.3908098811
63	0.3908006842
64	0.390548774
65	0.3902744576
66	0.3902705642
67	0.390138064
68	0.3896979048
69	0.3894121611
70	0.3891981307
71	0.3888750315
72	0.3886274436
73	0.3880064838
74	0.3875144061
75	0.387004099
76	0.3870016934
77	0.38691837
78	0.3867435699
79	0.3867396769
80	0.3862887071
81	0.3852504649
82	0.3849447331
83	0.3847687581
84	0.384523041
85	0.3839728891
86	0.383638339
87	0.383007634
88	0.3829298327
89	0.3824089218
90	0.3820034244
91	0.3815960194
92	0.3814331321
93	0.3809997748
94	0.3807141201
95	0.3804035417
96	0.3797720341
97	0.3793708943
98	0.378819628
99	0.3784583197
100	0.3777686254
101	0.3772962735
102	0.3771051687
103	0.3763916979
104	0.375923891
105	0.3753613064
106	0.3749540571
107	0.3748386469
108	0.3744508587
109	0.3739544593
110	0.3737916139
111	0.3734937307
112	0.3730084108
113	0.3727806493
114	0.3723601449
115	0.3721027555
116	0.3717779125
117	0.3715614625
118	0.3711047096
119	0.3708032455
120	0.3702023961
121	0.3700609346
122	0.3696245465
123	0.3693111444
124	0.3688440234
125	0.3685884421
126	0.3681043024
127	0.3677199575
128	0.3672974981
129	0.3671810579
130	0.3666570168
131	0.36632374
132	0.3657784575
133	0.3657108131
134	0.3656595516
135	0.365420645
136	0.3650719828
137	0.3647807275
138	0.3647079115
139	0.364101353
140	0.3637999845
141	0.3637361744
142	0.3634877777
143	0.3631043915
144	0.3629430899
145	0.3628237399
146	0.3626813437
147	0.3624487178
148	0.3623735018
149	0.3617650918
150	0.3615468917
151	0.3612552433
152	0.3608818459
153	0.3606891887
154	0.3604187172
155	0.3601806612
156	0.3599719919
157	0.3598631133
158	0.3589073141
159	0.3584019343
160	0.3582711849
161	0.3579988938
162	0.3577353271
163	0.3573365097
164	0.3565213062
165	0.3559985391
166	0.3558227675
167	0.3555518293
168	0.355021897
169	0.3549500807
170	0.3547935912
171	0.3544677974
172	0.3540152118
173	0.353983604
174	0.3536693577
175	0.3531063582
176	0.3528267923
177	0.3526774225
178	0.3523782597
179	0.3518850128
180	0.3515238809
181	0.351346899
182	0.3510425627
183	0.3509438432
184	0.3505296238
185	0.3502475495
186	0.349875169
187	0.3491877196
188	0.3490960594
189	0.3489278118
190	0.3487902012
191	0.34870184
192	0.3481611129
193	0.3474040889
194	0.3470835155
195	0.3468594921
196	0.3466249669
197	0.3463934609
198	0.3461091145
199	0.3457539337
